exp_id,stage,event_type,job_id,timestamp_sec,reason,size_or_out_bytes,extra_info
formal_f1_t512_rep01,PRELOAD,FLUSH,2,0.3613,"Write Buffer Full",59992843,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f1_t512_rep01/000009.sst"
formal_f1_t512_rep01,PRELOAD,FLUSH,3,0.6329,"Write Buffer Full",59992089,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f1_t512_rep01/000011.sst"
formal_f1_t512_rep01,PRELOAD,FLUSH,4,0.6329,"Manual Flush",15631721,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f1_t512_rep01/000013.sst"
formal_f1_t512_rep01,FOREGROUND,FLUSH,5,0.1859,"Memtable Max Range Deletions",2180086,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f1_t512_rep01/000015.sst"
formal_f1_t512_rep01,FOREGROUND,FLUSH,7,0.2989,"Memtable Max Range Deletions",2185008,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f1_t512_rep01/000018.sst"
formal_f1_t512_rep01,FOREGROUND,FLUSH,8,0.3688,"Memtable Max Range Deletions",1616359,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f1_t512_rep01/000020.sst"
formal_f1_t512_rep01,FOREGROUND,FLUSH,9,0.4134,"Memtable Max Range Deletions",1556414,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f1_t512_rep01/000022.sst"
formal_f1_t512_rep01,FOREGROUND,FLUSH,10,0.4421,"Memtable Max Range Deletions",1410641,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f1_t512_rep01/000025.sst"
formal_f1_t512_rep01,FOREGROUND,FLUSH,12,0.4930,"Memtable Max Range Deletions",1562416,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f1_t512_rep01/000028.sst"
formal_f1_t512_rep01,FOREGROUND,FLUSH,13,0.5547,"Memtable Max Range Deletions",1420237,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f1_t512_rep01/000030.sst"
formal_f1_t512_rep01,FOREGROUND,FLUSH,14,0.5937,"Memtable Max Range Deletions",1511492,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f1_t512_rep01/000032.sst"
formal_f1_t512_rep01,FOREGROUND,FLUSH,17,0.6763,"Memtable Max Range Deletions",1390186,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f1_t512_rep01/000034.sst"
