exp_id,stage,event_type,job_id,timestamp_sec,reason,size_or_out_bytes,extra_info
formal_f4a_wbs_16mb_rep01,PRELOAD,FLUSH,2,0.1611,"Write Buffer Full",15553504,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f4a_wbs_16mb_rep01/000009.sst"
formal_f4a_wbs_16mb_rep01,PRELOAD,FLUSH,3,0.1902,"Write Buffer Full",15553513,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f4a_wbs_16mb_rep01/000011.sst"
formal_f4a_wbs_16mb_rep01,PRELOAD,FLUSH,4,0.2465,"Write Buffer Full",15554123,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f4a_wbs_16mb_rep01/000013.sst"
formal_f4a_wbs_16mb_rep01,PRELOAD,FLUSH,5,0.2763,"Write Buffer Full",15553819,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f4a_wbs_16mb_rep01/000015.sst"
formal_f4a_wbs_16mb_rep01,PRELOAD,FLUSH,7,0.3439,"Write Buffer Full",15553663,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f4a_wbs_16mb_rep01/000018.sst"
formal_f4a_wbs_16mb_rep01,PRELOAD,FLUSH,8,0.3825,"Write Buffer Full",15554274,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f4a_wbs_16mb_rep01/000020.sst"
formal_f4a_wbs_16mb_rep01,PRELOAD,FLUSH,9,0.4734,"Write Buffer Full",15554276,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f4a_wbs_16mb_rep01/000022.sst"
formal_f4a_wbs_16mb_rep01,PRELOAD,FLUSH,10,0.6229,"Write Buffer Full",15553665,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f4a_wbs_16mb_rep01/000024.sst"
formal_f4a_wbs_16mb_rep01,PRELOAD,FLUSH,12,0.7459,"Manual Flush",11188125,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f4a_wbs_16mb_rep01/000027.sst"
formal_f4a_wbs_16mb_rep01,FOREGROUND,FLUSH,13,2.5721,"Write Buffer Full",11372648,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f4a_wbs_16mb_rep01/000030.sst"
formal_f4a_wbs_16mb_rep01,FOREGROUND,FLUSH,14,9.7737,"Write Buffer Full",11098955,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f4a_wbs_16mb_rep01/000032.sst"
formal_f4a_wbs_16mb_rep01,PRELOAD,COMPACTION,6,0.6051,"kLevelL0FilesNum",62989663,"in_level=0;out_level=6;in_bytes=62992312"
formal_f4a_wbs_16mb_rep01,PRELOAD,COMPACTION,11,1.3196,"kLevelL0FilesNum",125980757,"in_level=0;out_level=6;in_bytes=125983805"
formal_f4a_wbs_64mb_rep01,PRELOAD,FLUSH,2,0.3740,"Write Buffer Full",59992994,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f4a_wbs_64mb_rep01/000009.sst"
formal_f4a_wbs_64mb_rep01,PRELOAD,FLUSH,3,0.6228,"Write Buffer Full",59993908,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f4a_wbs_64mb_rep01/000011.sst"
formal_f4a_wbs_64mb_rep01,PRELOAD,FLUSH,4,0.6228,"Manual Flush",15632067,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f4a_wbs_64mb_rep01/000013.sst"
formal_f4a_wbs_128mb_rep01,PRELOAD,FLUSH,2,0.8640,"Write Buffer Full",119985808,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f4a_wbs_128mb_rep01/000009.sst"
formal_f4a_wbs_128mb_rep01,PRELOAD,FLUSH,3,0.8640,"Manual Flush",15632067,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f4a_wbs_128mb_rep01/000011.sst"
formal_f4b_wbs_16mb_rep01,PRELOAD,FLUSH,2,0.2962,"Write Buffer Full",15553658,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f4b_wbs_16mb_rep01/000009.sst"
formal_f4b_wbs_16mb_rep01,PRELOAD,FLUSH,3,0.3290,"Write Buffer Full",15554277,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f4b_wbs_16mb_rep01/000011.sst"
formal_f4b_wbs_16mb_rep01,PRELOAD,FLUSH,4,0.3738,"Write Buffer Full",15554124,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f4b_wbs_16mb_rep01/000013.sst"
formal_f4b_wbs_16mb_rep01,PRELOAD,FLUSH,5,0.4135,"Write Buffer Full",15553670,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f4b_wbs_16mb_rep01/000015.sst"
formal_f4b_wbs_16mb_rep01,PRELOAD,FLUSH,6,0.4603,"Write Buffer Full",15553819,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f4b_wbs_16mb_rep01/000017.sst"
formal_f4b_wbs_16mb_rep01,PRELOAD,FLUSH,8,0.5168,"Write Buffer Full",15553673,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f4b_wbs_16mb_rep01/000020.sst"
formal_f4b_wbs_16mb_rep01,PRELOAD,FLUSH,9,0.5864,"Write Buffer Full",15553975,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f4b_wbs_16mb_rep01/000022.sst"
formal_f4b_wbs_16mb_rep01,PRELOAD,FLUSH,10,0.6589,"Write Buffer Full",15553672,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f4b_wbs_16mb_rep01/000024.sst"
formal_f4b_wbs_16mb_rep01,PRELOAD,FLUSH,12,0.7451,"Write Buffer Full",15553971,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f4b_wbs_16mb_rep01/000027.sst"
formal_f4b_wbs_16mb_rep01,PRELOAD,FLUSH,13,0.8123,"Write Buffer Full",15553820,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f4b_wbs_16mb_rep01/000029.sst"
formal_f4b_wbs_16mb_rep01,PRELOAD,FLUSH,14,0.9024,"Write Buffer Full",15553371,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f4b_wbs_16mb_rep01/000031.sst"
formal_f4b_wbs_16mb_rep01,PRELOAD,FLUSH,15,0.9726,"Write Buffer Full",15554132,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f4b_wbs_16mb_rep01/000034.sst"
formal_f4b_wbs_16mb_rep01,PRELOAD,FLUSH,17,1.3800,"Write Buffer Full",15553972,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f4b_wbs_16mb_rep01/000037.sst"
formal_f4b_wbs_16mb_rep01,PRELOAD,FLUSH,18,1.3800,"Write Buffer Full",15553516,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f4b_wbs_16mb_rep01/000039.sst"
formal_f4b_wbs_16mb_rep01,PRELOAD,FLUSH,19,1.4851,"Write Buffer Full",15553814,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f4b_wbs_16mb_rep01/000041.sst"
